"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062012","regulation of small molecule metabolic process","57/1129","347/18805",0.164265129682997,2.73605470654452,8.24927760770479,3.47518733804702e-12,8.88660553440929e-10,6.25179938007636e-10,"4837/229/10891/8647/2203/3638/3479/3487/9563/84879/341/345/351/3949/6774/133/440503/83752/10580/8870/2308/5166/1066/4485/3643/130013/79660/5230/5207/6095/5467/3953/8660/2822/5163/51422/37/26137/2908/6934/158219/2023/2330/116519/10613/9926/3091/32/5771/6720/1374/5562/1407/348/335/972/4790",57
"GO:0048545","response to steroid hormone","56/1129","338/18805",0.165680473372781,2.75962914240491,8.2501418805742,3.78358825965606e-12,8.88660553440929e-10,6.25179938007636e-10,"5105/2805/6898/2690/11057/54206/3557/2/3485/2355/133/2099/7538/7035/7057/445/687/57630/6446/10628/6715/3725/367/1026/1956/5207/5467/2309/1036/2821/29966/9076/1369/476/6382/2908/1408/4537/677/3717/55625/6720/3727/1655/6256/678/3490/1407/23558/55818/8837/3158/3480/5176/4193/9420",56
"GO:0031639","plasminogen activation","15/1129","27/18805",0.555555555555556,9.25351835449267,10.8461706180554,3.8071855199183e-12,8.88660553440929e-10,6.25179938007636e-10,"5054/2243/2266/2244/7057/2161/302/5230/1718/1361/2160/2023/3249/350/861",15
"GO:0042730","fibrinolysis","15/1129","27/18805",0.555555555555556,9.25351835449267,10.8461706180554,3.8071855199183e-12,8.88660553440929e-10,6.25179938007636e-10,"5054/710/3273/2243/2266/2244/5340/7057/5627/2161/302/2147/1361/2160/350",15
"GO:0006979","response to oxidative stress","63/1129","408/18805",0.154411764705882,2.57193377793987,8.11280279585236,4.12533078490775e-12,8.9017869874482e-10,6.26247965595108e-10,"10891/3240/8647/6505/6898/388/4217/8876/2081/351/2034/6414/2308/2730/2878/135112/1827/50640/10628/4921/1956/259/11030/2643/9124/2309/140885/10110/3163/94241/4540/6382/5516/3162/3091/9588/6772/7494/4537/2534/54363/4535/7706/4512/3717/10549/5562/847/1398/83636/4482/6778/348/7155/30001/2729/5587/6416/1965/59338/9962/4193/6647",63
"GO:0050878","regulation of body fluid levels","61/1129","388/18805",0.157216494845361,2.61865029722499,8.14215837830364,4.16860586997558e-12,8.9017869874482e-10,6.26247965595108e-10,"6288/5054/710/3273/51129/3083/462/8835/2158/2243/2266/2244/2355/3572/9060/3570/5340/5873/133/7035/7057/5359/2131/3827/2153/7498/5627/1579/725/2161/302/5581/1956/2147/4067/1036/11234/1361/5265/5530/7422/2160/2821/51156/160851/7006/5624/137964/50848/350/3091/7494/2013/3717/7414/4627/10672/348/8761/308/60",61
"GO:0019318","hexose metabolic process","45/1129","237/18805",0.189873417721519,3.16259488064939,8.46733759667181,4.48215473334304e-12,8.9017869874482e-10,6.26247965595108e-10,"4837/10993/5105/229/10891/2805/2203/3479/3487/54206/9563/2683/10580/2308/5166/4485/5950/51181/3643/79660/2542/23516/5230/5207/5091/6095/5467/3953/8660/2822/2821/5163/51422/3795/2908/6934/2023/32/5771/5236/1374/5562/1407/8864/5373",45
"GO:0016125","sterol metabolic process","36/1129","161/18805",0.22360248447205,3.72439744951009,8.77392568666048,4.58147046904009e-12,8.9017869874482e-10,6.26247965595108e-10,"1576/1559/3638/1582/54206/8542/341/351/3949/5444/1066/25987/19/5467/1718/3953/51422/37/2230/158219/6822/2330/116519/10449/10613/949/6720/27329/5562/847/3931/51478/348/335/3158/9420",36
"GO:0071375","cellular response to peptide hormone stimulus","59/1129","369/18805",0.159891598915989,2.66320772153691,8.15467057872701,4.6082081870046e-12,8.9017869874482e-10,6.26247965595108e-10,"3484/5105/2805/2203/3638/2690/8835/2321/6774/445/10580/2308/5166/2642/5905/6715/1969/3643/4921/23516/1956/9663/4067/5305/2195/8660/2822/5919/3716/5167/5530/10458/2887/23175/6772/7494/677/645/9564/3717/5771/55625/6720/6653/23235/5562/1398/23191/8837/6655/6778/185/2729/5587/3158/3480/5770/4790/4193",59
"GO:0051056","regulation of small GTPase mediated signal transduction","52/1129","303/18805",0.171617161716172,2.85851260059575,8.24247391962217,5.71592666887466e-12,1.06735403996786e-09,7.50892261342692e-10,"2203/57568/3479/7052/345/23365/6453/23362/7204/11214/3688/8997/613/10260/19/29984/57186/4853/7074/55160/396/23550/5516/392/50848/121512/57584/143872/5962/8829/26053/23268/153090/90627/1398/8301/10672/84952/3685/6655/10982/23348/85440/348/57480/335/10979/64759/5879/23092/604/9922",52
