"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019216","regulation of lipid metabolic process","58/1189","343/18805",0.169096209912536,2.67439379933158,8.13069540172056,5.39503274061996e-12,1.46179696638703e-09,1.04736650648727e-09,"5105/8647/3638/1066/10891/718/345/3949/5581/84879/9563/83752/6342/7132/10580/341/13/3248/133/5919/440503/51422/6095/51099/5467/7494/37/5230/2822/9926/949/3398/32/11261/51280/27329/2181/116519/5166/2908/26137/8776/6720/476/5629/51085/10613/9971/5163/1374/10162/427/972/5465/5562/4790/3490/8660",58
"GO:0019318","hexose metabolic process","46/1189","237/18805",0.194092827004219,3.06973558605075,8.3304578981806,6.92454034062541e-12,1.79093793355266e-09,1.28319352819341e-09,"4837/10993/229/5105/2805/2203/10891/3479/2683/23516/3487/9563/10580/5091/2308/79660/4485/51422/51181/6095/3643/5950/5467/5207/6934/2542/54206/2821/5230/5771/2822/3795/32/5373/5166/2908/57486/5236/5163/1374/5465/5562/23786/6652/3607/8660",46
"GO:0042730","fibrinolysis","15/1189","27/18805",0.555555555555556,8.78656200355107,10.5187796781576,8.00709378106717e-12,1.98088537453357e-09,1.41928943771502e-09,"710/3273/5054/2266/2243/2244/5627/7057/2161/302/5340/1361/2147/2160/350",15
"GO:0031638","zymogen activation","19/1189","46/18805",0.41304347826087,6.53261783742275,9.76038939742945,1.15575504374783e-11,2.74010258288548e-09,1.96326284405059e-09,"715/3240/5054/2266/2243/2244/2158/3083/7057/1514/2161/302/861/3249/1718/5230/1361/2160/350",19
"GO:0006979","response to oxidative stress","64/1189","408/18805",0.156862745098039,2.48091162453207,7.85684376669794,1.29208070981999e-11,2.9407756955503e-09,2.10704361647698e-09,"3240/6505/8647/10891/6898/4217/8876/2034/2730/2081/11030/388/1956/1827/135112/2308/9124/3162/4921/2877/50640/54363/7494/140885/10110/2643/351/4482/94241/259/6414/4535/4257/3163/2309/2936/2729/10628/5516/4540/1398/83636/847/10549/4537/2878/3091/9962/3717/1965/6382/6778/8737/7706/4512/30001/4193/8428/10131/3297/5562/23064/2534/4233",64
"GO:0032868","response to insulin","55/1189","324/18805",0.169753086419753,2.68478283441838,7.94723578764196,1.64554718893873e-11,3.58324506416663e-09,2.56736807575939e-09,"5105/2690/2805/2203/3638/23516/10580/2321/5305/1956/4067/133/5919/2308/4921/6715/3643/5167/5207/7494/54206/2887/1969/5771/9663/6429/2822/3795/9564/645/2729/847/6655/23191/1408/5166/55022/3030/677/9640/55625/6720/3484/9971/5770/10458/8615/3158/23235/8837/5465/5562/4233/2260/8660",55
"GO:0006109","regulation of carbohydrate metabolic process","39/1189","184/18805",0.21195652173913,3.3522644165722,8.33020996654801,1.70030960865552e-11,3.58324506416663e-09,2.56736807575939e-09,"4837/229/2203/10891/3479/3487/2646/6774/8870/10580/2308/79660/4485/51422/6095/3643/5167/5207/6934/2887/351/5771/2642/2822/3795/32/90007/3091/5166/2908/57486/26137/51085/5163/5465/5562/4790/3607/8660",39
"GO:0072330","monocarboxylic acid biosynthetic process","44/1189","229/18805",0.192139737991266,3.03884589817137,8.06470413883569,2.81917023868873e-11,5.72895666362102e-09,4.10475426106821e-09,"1576/1559/10993/1558/1571/8647/3638/1066/11057/11343/345/1582/8854/2628/6342/570/341/84532/114883/11001/51422/9388/50640/130013/7494/54206/348158/37/123876/8564/9926/10998/32/116519/2593/5166/9420/5629/51085/10613/9971/5007/972/5562",44
"GO:0019362","pyridine nucleotide metabolic process","38/1189","180/18805",0.211111111111111,3.33889356134941,8.19145345599628,3.50233950288897e-11,6.6427705904794e-09,4.75949505076806e-09,"4837/229/10135/2805/2203/3479/83733/9563/6774/8942/8870/25819/5091/51422/51181/3643/130013/5207/3418/2821/5230/351/8564/83666/10840/32/3091/26137/23530/5236/51085/64080/55526/5465/5562/23786/23498/3607",38
"GO:0046496","nicotinamide nucleotide metabolic process","38/1189","180/18805",0.211111111111111,3.33889356134941,8.19145345599628,3.50233950288897e-11,6.6427705904794e-09,4.75949505076806e-09,"4837/229/10135/2805/2203/3479/83733/9563/6774/8942/8870/25819/5091/51422/51181/3643/130013/5207/3418/2821/5230/351/8564/83666/10840/32/3091/26137/23530/5236/51085/64080/55526/5465/5562/23786/23498/3607",38
"GO:0016042","lipid catabolic process","57/1189","350/18805",0.162857142857143,2.57571789018383,7.73068292595144,3.85870611572799e-11,7.08259283822332e-09,5.07462437562462e-09,"1576/5105/5320/8647/1066/8630/83875/11057/11343/345/3949/3290/5581/84879/83752/6342/341/38/374569/13/3248/5095/5919/440503/11001/8613/6715/9388/51099/6822/50640/54363/1579/5467/4051/55268/37/81537/9663/2822/949/10449/32/27329/2108/116519/1666/7879/55331/3030/1892/1374/427/5465/5562/3032/8660",57
"GO:0010562","positive regulation of phosphorus metabolic process","71/1189","493/18805",0.144016227180527,2.27773351735056,7.468927690005,5.65490658426464e-11,9.75042983771691e-09,6.98610947395756e-09,"3084/2690/3479/718/4217/57600/23043/7057/2081/30844/2321/3985/896/367/1956/4067/7164/5919/5292/1026/51422/54625/8613/4921/54757/3570/3643/5207/7494/2887/5606/10178/351/8797/2822/83666/8829/11261/2181/2147/153090/219771/5604/3091/85440/1942/3717/1981/55022/26137/5629/51085/8737/9971/5770/3280/5062/7422/5906/90/5649/387/8795/972/5465/7525/5562/5879/51429/8826/2260",71
"GO:0045937","positive regulation of phosphate metabolic process","71/1189","493/18805",0.144016227180527,2.27773351735056,7.468927690005,5.65490658426464e-11,9.75042983771691e-09,6.98610947395756e-09,"3084/2690/3479/718/4217/57600/23043/7057/2081/30844/2321/3985/896/367/1956/4067/7164/5919/5292/1026/51422/54625/8613/4921/54757/3570/3643/5207/7494/2887/5606/10178/351/8797/2822/83666/8829/11261/2181/2147/153090/219771/5604/3091/85440/1942/3717/1981/55022/26137/5629/51085/8737/9971/5770/3280/5062/7422/5906/90/5649/387/8795/972/5465/7525/5562/5879/51429/8826/2260",71
"GO:0170039","proteinogenic amino acid metabolic process","36/1189","167/18805",0.215568862275449,3.40939651395275,8.12511014936206,6.13337786840407e-11,1.02643882562409e-08,7.35435680629379e-09,"3242/10993/3034/2805/4143/6999/6898/189/3081/445/2730/8942/570/374569/81539/435/5352/6470/10247/441024/54363/130013/4522/8564/4482/2356/383/10841/2729/23576/1036/493/9971/23498/4204/80017",36
"GO:0042180","ketone metabolic process","43/1189","227/18805",0.18942731277533,2.9959466919597,7.86004052123113,7.64218068657458e-11,1.24240023161741e-08,8.90170399973032e-09,"1555/8647/3638/6999/1066/10891/8630/345/84879/9563/83752/6342/8942/341/133/440503/51422/1646/6715/127/5467/4051/37/5230/8564/1645/9926/2531/32/116519/5166/6720/56267/5629/51085/10613/9971/9612/5163/1374/972/5465/8660",43
